"County","Date","Cases","Deaths"
"Adams",2020-03-05,0,0
"Adams",2020-03-06,0,0
"Adams",2020-03-07,0,0
"Adams",2020-03-08,0,0
"Adams",2020-03-09,0,0
"Adams",2020-03-10,0,0
"Adams",2020-03-11,0,0
"Adams",2020-03-12,0,0
"Adams",2020-03-13,0,0
"Adams",2020-03-14,0,0
"Adams",2020-03-15,0,0
"Adams",2020-03-16,0,0
"Adams",2020-03-17,0,0
"Adams",2020-03-18,0,0
"Adams",2020-03-19,1,0
"Adams",2020-03-20,4,0
"Adams",2020-03-21,4,0
"Adams",2020-03-22,5,0
"Adams",2020-03-23,6,0
"Adams",2020-03-24,6,0
"Adams",2020-03-25,6,0
"Adams",2020-03-26,7,0
"Adams",2020-03-27,8,0
"Adams",2020-03-28,8,0
"Adams",2020-03-29,8,0
"Adams",2020-03-30,8,0
"Adams",2020-03-31,9,0
"Adams",2020-04-01,12,0
"Adams",2020-04-02,18,0
"Adams",2020-04-03,19,0
"Adams",2020-04-04,21,0
"Adams",2020-04-05,22,0
"Adams",2020-04-06,25,0
"Adams",2020-04-07,28,0
"Adams",2020-04-08,33,0
"Adams",2020-04-09,38,1
"Adams",2020-04-10,43,1
"Adams",2020-04-11,44,1
"Allegheny",2020-03-05,0,0
"Allegheny",2020-03-06,0,0
"Allegheny",2020-03-07,0,0
"Allegheny",2020-03-08,0,0
"Allegheny",2020-03-09,0,0
"Allegheny",2020-03-10,0,0
"Allegheny",2020-03-11,0,0
"Allegheny",2020-03-12,0,0
"Allegheny",2020-03-13,2,0
"Allegheny",2020-03-14,3,0
"Allegheny",2020-03-15,3,0
"Allegheny",2020-03-16,5,0
"Allegheny",2020-03-17,7,0
"Allegheny",2020-03-18,11,0
"Allegheny",2020-03-19,16,0
"Allegheny",2020-03-20,28,0
"Allegheny",2020-03-21,31,1
"Allegheny",2020-03-22,40,1
"Allegheny",2020-03-23,48,1
"Allegheny",2020-03-24,58,2
"Allegheny",2020-03-25,88,2
"Allegheny",2020-03-26,133,2
"Allegheny",2020-03-27,158,2
"Allegheny",2020-03-28,219,2
"Allegheny",2020-03-29,265,2
"Allegheny",2020-03-30,290,2
"Allegheny",2020-03-31,325,2
"Allegheny",2020-04-01,356,2
"Allegheny",2020-04-02,419,2
"Allegheny",2020-04-03,476,2
"Allegheny",2020-04-04,552,2
"Allegheny",2020-04-05,605,4
"Allegheny",2020-04-06,642,4
"Allegheny",2020-04-07,689,6
"Allegheny",2020-04-08,720,10
"Allegheny",2020-04-09,759,12
"Allegheny",2020-04-10,788,18
"Allegheny",2020-04-11,836,19
"Armstrong",2020-03-05,0,0
"Armstrong",2020-03-06,0,0
"Armstrong",2020-03-07,0,0
"Armstrong",2020-03-08,0,0
"Armstrong",2020-03-09,0,0
"Armstrong",2020-03-10,0,0
"Armstrong",2020-03-11,0,0
"Armstrong",2020-03-12,0,0
"Armstrong",2020-03-13,0,0
"Armstrong",2020-03-14,0,0
"Armstrong",2020-03-15,0,0
"Armstrong",2020-03-16,0,0
"Armstrong",2020-03-17,0,0
"Armstrong",2020-03-18,0,0
"Armstrong",2020-03-19,0,0
"Armstrong",2020-03-20,0,0
"Armstrong",2020-03-21,0,0
"Armstrong",2020-03-22,0,0
"Armstrong",2020-03-23,0,0
"Armstrong",2020-03-24,1,0
"Armstrong",2020-03-25,1,0
"Armstrong",2020-03-26,1,0
"Armstrong",2020-03-27,1,0
"Armstrong",2020-03-28,2,0
"Armstrong",2020-03-29,3,0
"Armstrong",2020-03-30,3,0
"Armstrong",2020-03-31,5,0
"Armstrong",2020-04-01,5,0
"Armstrong",2020-04-02,7,0
"Armstrong",2020-04-03,11,0
"Armstrong",2020-04-04,12,3
"Armstrong",2020-04-05,12,0
"Armstrong",2020-04-06,13,0
"Armstrong",2020-04-07,18,0
"Armstrong",2020-04-08,19,0
"Armstrong",2020-04-09,20,0
"Armstrong",2020-04-10,22,0
"Armstrong",2020-04-11,26,1
"Beaver",2020-03-05,0,0
"Beaver",2020-03-06,0,0
"Beaver",2020-03-07,0,0
"Beaver",2020-03-08,0,0
"Beaver",2020-03-09,0,0
"Beaver",2020-03-10,0,0
"Beaver",2020-03-11,0,0
"Beaver",2020-03-12,0,0
"Beaver",2020-03-13,0,0
"Beaver",2020-03-14,0,0
"Beaver",2020-03-15,0,0
"Beaver",2020-03-16,0,0
"Beaver",2020-03-17,1,0
"Beaver",2020-03-18,2,0
"Beaver",2020-03-19,2,0
"Beaver",2020-03-20,3,0
"Beaver",2020-03-21,3,0
"Beaver",2020-03-22,3,0
"Beaver",2020-03-23,3,0
"Beaver",2020-03-24,3,0
"Beaver",2020-03-25,7,0
"Beaver",2020-03-26,13,0
"Beaver",2020-03-27,14,0
"Beaver",2020-03-28,22,0
"Beaver",2020-03-29,28,0
"Beaver",2020-03-30,44,0
"Beaver",2020-03-31,52,1
"Beaver",2020-04-01,54,2
"Beaver",2020-04-02,55,2
"Beaver",2020-04-03,65,2
"Beaver",2020-04-04,69,6
"Beaver",2020-04-05,84,6
"Beaver",2020-04-06,96,6
"Beaver",2020-04-07,116,9
"Beaver",2020-04-08,128,13
"Beaver",2020-04-09,129,13
"Beaver",2020-04-10,139,13
"Beaver",2020-04-11,143,13
"Bedford",2020-03-05,0,0
"Bedford",2020-03-06,0,0
"Bedford",2020-03-07,0,0
