GEOID,NAME,variable,estimate,moe
01001,"Autauga County, Alabama",B01003_001,55380,NA
01003,"Baldwin County, Alabama",B01003_001,212830,NA
01005,"Barbour County, Alabama",B01003_001,25361,NA
01007,"Bibb County, Alabama",B01003_001,22493,NA
01009,"Blount County, Alabama",B01003_001,57681,NA
01011,"Bullock County, Alabama",B01003_001,10248,NA
01013,"Butler County, Alabama",B01003_001,19828,NA
01015,"Calhoun County, Alabama",B01003_001,114618,NA
01017,"Chambers County, Alabama",B01003_001,33660,NA
01019,"Cherokee County, Alabama",B01003_001,25903,NA
01021,"Chilton County, Alabama",B01003_001,44055,NA
01023,"Choctaw County, Alabama",B01003_001,12925,NA
01025,"Clarke County, Alabama",B01003_001,24128,NA
01027,"Clay County, Alabama",B01003_001,13337,NA
01029,"Cleburne County, Alabama",B01003_001,14916,NA
01031,"Coffee County, Alabama",B01003_001,51662,NA
01033,"Colbert County, Alabama",B01003_001,54771,NA
01035,"Conecuh County, Alabama",B01003_001,12394,NA
01037,"Coosa County, Alabama",B01003_001,10757,NA
01039,"Covington County, Alabama",B01003_001,37200,NA
01041,"Crenshaw County, Alabama",B01003_001,13844,NA
01043,"Cullman County, Alabama",B01003_001,82853,NA
01045,"Dale County, Alabama",B01003_001,49277,NA
01047,"Dallas County, Alabama",B01003_001,39149,NA
01049,"DeKalb County, Alabama",B01003_001,71310,NA
01051,"Elmore County, Alabama",B01003_001,81144,NA
01053,"Escambia County, Alabama",B01003_001,37057,NA
01055,"Etowah County, Alabama",B01003_001,102748,NA
01057,"Fayette County, Alabama",B01003_001,16494,NA
01059,"Franklin County, Alabama",B01003_001,31466,NA
01061,"Geneva County, Alabama",B01003_001,26417,NA
01063,"Greene County, Alabama",B01003_001,8324,NA
01065,"Hale County, Alabama",B01003_001,14809,NA
01067,"Henry County, Alabama",B01003_001,17133,NA
01069,"Houston County, Alabama",B01003_001,104702,NA
01071,"Jackson County, Alabama",B01003_001,51852,NA
01073,"Jefferson County, Alabama",B01003_001,659680,NA
01075,"Lamar County, Alabama",B01003_001,13885,NA
01077,"Lauderdale County, Alabama",B01003_001,92556,NA
01079,"Lawrence County, Alabama",B01003_001,33058,NA
01081,"Lee County, Alabama",B01003_001,161152,NA
01083,"Limestone County, Alabama",B01003_001,94727,NA
01085,"Lowndes County, Alabama",B01003_001,10079,NA
01087,"Macon County, Alabama",B01003_001,18708,NA
01089,"Madison County, Alabama",B01003_001,362276,NA
01091,"Marengo County, Alabama",B01003_001,19321,NA
01093,"Marion County, Alabama",B01003_001,29866,NA
01095,"Marshall County, Alabama",B01003_001,95643,NA
01097,"Mobile County, Alabama",B01003_001,414114,NA
01099,"Monroe County, Alabama",B01003_001,21270,NA
01101,"Montgomery County, Alabama",B01003_001,226941,NA
01103,"Morgan County, Alabama",B01003_001,119213,NA
01105,"Perry County, Alabama",B01003_001,9293,NA
01107,"Pickens County, Alabama",B01003_001,20243,NA
01109,"Pike County, Alabama",B01003_001,33333,NA
01111,"Randolph County, Alabama",B01003_001,22647,NA
01113,"Russell County, Alabama",B01003_001,57952,NA
01115,"St. Clair County, Alabama",B01003_001,87989,NA
01117,"Shelby County, Alabama",B01003_001,213432,NA
01119,"Sumter County, Alabama",B01003_001,12797,NA
01121,"Talladega County, Alabama",B01003_001,80387,NA
01123,"Tallapoosa County, Alabama",B01003_001,40541,NA
01125,"Tuscaloosa County, Alabama",B01003_001,207305,NA
01127,"Walker County, Alabama",B01003_001,64110,NA
01129,"Washington County, Alabama",B01003_001,16541,NA
01131,"Wilcox County, Alabama",B01003_001,10681,NA
01133,"Winston County, Alabama",B01003_001,23784,NA
02013,"Aleutians East Borough, Alaska",B01003_001,3385,NA
02016,"Aleutians West Census Area, Alaska",B01003_001,5698,NA
02020,"Anchorage Municipality, Alaska",B01003_001,293531,NA
02050,"Bethel Census Area, Alaska",B01003_001,18134,NA
02060,"Bristol Bay Borough, Alaska",B01003_001,875,80
02068,"Denali Borough, Alaska",B01003_001,2246,367
02070,"Dillingham Census Area, Alaska",B01003_001,4961,NA
02090,"Fairbanks North Star Borough, Alaska",B01003_001,99072,NA
02100,"Haines Borough, Alaska",B01003_001,2518,NA
02105,"Hoonah-Angoon Census Area, Alaska",B01003_001,2139,NA
02110,"Juneau City and Borough, Alaska",B01003_001,32227,NA
02122,"Kenai Peninsula Borough, Alaska",B01003_001,58464,NA
02130,"Ketchikan Gateway Borough, Alaska",B01003_001,13800,NA
02150,"Kodiak Island Borough, Alaska",B01003_001,13451,NA
02158,"Kusilvak Census Area, Alaska",B01003_001,8250,NA
02164,"Lake and Peninsula Borough, Alaska",B01003_001,1393,367
02170,"Matanuska-Susitna Borough, Alaska",B01003_001,105369,NA
02180,"Nome Census Area, Alaska",B01003_001,9988,NA
02185,"North Slope Borough, Alaska",B01003_001,9792,NA
02188,"Northwest Arctic Borough, Alaska",B01003_001,7715,NA
02195,"Petersburg Borough, Alaska",B01003_001,3257,NA
02198,"Prince of Wales-Hyder Census Area, Alaska",B01003_001,6407,NA
02220,"Sitka City and Borough, Alaska",B01003_001,8640,NA
02230,"Skagway Municipality, Alaska",B01003_001,1107,102
02240,"Southeast Fairbanks Census Area, Alaska",B01003_001,6878,NA
02261,"Valdez-Cordova Census Area, Alaska",B01003_001,9243,NA
02275,"Wrangell City and Borough, Alaska",B01003_001,2502,NA
02282,"Yakutat City and Borough, Alaska",B01003_001,649,89
02290,"Yukon-Koyukuk Census Area, Alaska",B01003_001,5377,NA
04001,"Apache County, Arizona",B01003_001,71511,NA
04003,"Cochise County, Arizona",B01003_001,125867,NA
04005,"Coconino County, Arizona",B01003_001,141274,NA
04007,"Gila County, Arizona",B01003_001,53546,NA
04009,"Graham County, Arizona",B01003_001,37996,NA
04011,"Greenlee County, Arizona",B01003_001,9522,NA
04012,"La Paz County, Arizona",B01003_001,20793,NA
04013,"Maricopa County, Arizona",B01003_001,4328810,NA
04015,"Mohave County, Arizona",B01003_001,207695,NA
04017,"Navajo County, Arizona",B01003_001,109270,NA
04019,"Pima County, Arizona",B01003_001,1027207,NA
04021,"Pinal County, Arizona",B01003_001,432793,NA
04023,"Santa Cruz County, Arizona",B01003_001,46480,NA
04025,"Yavapai County, Arizona",B01003_001,228067,NA
04027,"Yuma County, Arizona",B01003_001,209468,NA
05001,"Arkansas County, Arkansas",B01003_001,17914,NA
05003,"Ashley County, Arkansas",B01003_001,20270,NA
05005,"Baxter County, Arkansas",B01003_001,41427,NA
05007,"Benton County, Arkansas",B01003_001,265759,NA
05009,"Boone County, Arkansas",B01003_001,37331,NA
05011,"Bradley County, Arkansas",B01003_001,10874,NA
05013,"Calhoun County, Arkansas",B01003_001,5192,NA
05015,"Carroll County, Arkansas",B01003_001,27965,NA
05017,"Chicot County, Arkansas",B01003_001,10615,NA
05019,"Clark County, Arkansas",B01003_001,22386,NA
05021,"Clay County, Arkansas",B01003_001,14889,NA
05023,"Cleburne County, Arkansas",B01003_001,25100,NA
05025,"Cleveland County, Arkansas",B01003_001,8128,NA
05027,"Columbia County, Arkansas",B01003_001,23776,NA
05029,"Conway County, Arkansas",B01003_001,20858,NA
05031,"Craighead County, Arkansas",B01003_001,107345,NA
05033,"Crawford County, Arkansas",B01003_001,62739,NA
05035,"Crittenden County, Arkansas",B01003_001,48672,NA
05037,"Cross County, Arkansas",B01003_001,16824,NA
05039,"Dallas County, Arkansas",B01003_001,7279,NA
05041,"Desha County, Arkansas",B01003_001,11709,NA
05043,"Drew County, Arkansas",B01003_001,18417,NA
05045,"Faulkner County, Arkansas",B01003_001,123624,NA
05047,"Franklin County, Arkansas",B01003_001,17738,NA
05049,"Fulton County, Arkansas",B01003_001,12231,NA
05051,"Garland County, Arkansas",B01003_001,98555,NA
05053,"Grant County, Arkansas",B01003_001,18126,NA
05055,"Greene County, Arkansas",B01003_001,44937,NA
05057,"Hempstead County, Arkansas",B01003_001,21842,NA
05059,"Hot Spring County, Arkansas",B01003_001,33597,NA
05061,"Howard County, Arkansas",B01003_001,13311,NA
05063,"Independence County, Arkansas",B01003_001,37427,NA
05065,"Izard County, Arkansas",B01003_001,13570,NA
05067,"Jackson County, Arkansas",B01003_001,17027,NA
05069,"Jefferson County, Arkansas",B01003_001,69282,NA
05071,"Johnson County, Arkansas",B01003_001,26372,NA
05073,"Lafayette County, Arkansas",B01003_001,6800,NA
05075,"Lawrence County, Arkansas",B01003_001,16549,NA
05077,"Lee County, Arkansas",B01003_001,9194,NA
05079,"Lincoln County, Arkansas",B01003_001,13455,NA
05081,"Little River County, Arkansas",B01003_001,12347,NA
05083,"Logan County, Arkansas",B01003_001,21668,NA
05085,"Lonoke County, Arkansas",B01003_001,72528,NA
05087,"Madison County, Arkansas",B01003_001,16211,NA
05089,"Marion County, Arkansas",B01003_001,16476,NA
05091,"Miller County, Arkansas",B01003_001,43572,NA
05093,"Mississippi County, Arkansas",B01003_001,42126,NA
05095,"Monroe County, Arkansas",B01003_001,7050,NA
05097,"Montgomery County, Arkansas",B01003_001,8950,NA
05099,"Nevada County, Arkansas",B01003_001,8351,NA
05101,"Newton County, Arkansas",B01003_001,7812,NA
05103,"Ouachita County, Arkansas",B01003_001,23830,NA
05105,"Perry County, Arkansas",B01003_001,10355,NA
05107,"Phillips County, Arkansas",B01003_001,18606,NA
05109,"Pike County, Arkansas",B01003_001,10756,NA
05111,"Poinsett County, Arkansas",B01003_001,23896,NA
05113,"Polk County, Arkansas",B01003_001,20094,NA
05115,"Pope County, Arkansas",B01003_001,63761,NA
05117,"Prairie County, Arkansas",B01003_001,8189,NA
05119,"Pulaski County, Arkansas",B01003_001,392967,NA
05121,"Randolph County, Arkansas",B01003_001,17695,NA
05123,"St. Francis County, Arkansas",B01003_001,25900,NA
05125,"Saline County, Arkansas",B01003_001,119415,NA
05127,"Scott County, Arkansas",B01003_001,10376,NA
05129,"Searcy County, Arkansas",B01003_001,7908,NA
05131,"Sebastian County, Arkansas",B01003_001,127591,NA
05133,"Sevier County, Arkansas",B01003_001,17081,NA
05135,"Sharp County, Arkansas",B01003_001,17139,NA
05137,"Stone County, Arkansas",B01003_001,12475,NA
05139,"Union County, Arkansas",B01003_001,39449,NA
05141,"Van Buren County, Arkansas",B01003_001,16642,NA
05143,"Washington County, Arkansas",B01003_001,232289,NA
05145,"White County, Arkansas",B01003_001,78762,NA
05147,"Woodruff County, Arkansas",B01003_001,6533,NA
05149,"Yell County, Arkansas",B01003_001,21464,NA
06001,"Alameda County, California",B01003_001,1656754,NA
06003,"Alpine County, California",B01003_001,1039,161
06005,"Amador County, California",B01003_001,38429,NA
06007,"Butte County, California",B01003_001,225817,NA
06009,"Calaveras County, California",B01003_001,45514,NA
06011,"Colusa County, California",B01003_001,21454,NA
06013,"Contra Costa County, California",B01003_001,1142251,NA
06015,"Del Norte County, California",B01003_001,27495,NA
06017,"El Dorado County, California",B01003_001,188563,NA
06019,"Fresno County, California",B01003_001,984521,NA
06021,"Glenn County, California",B01003_001,27976,NA
06023,"Humboldt County, California",B01003_001,135940,NA
06025,"Imperial County, California",B01003_001,180701,NA
06027,"Inyo County, California",B01003_001,17977,NA
06029,"Kern County, California",B01003_001,887641,NA
06031,"Kings County, California",B01003_001,150691,NA
06033,"Lake County, California",B01003_001,64195,NA
06035,"Lassen County, California",B01003_001,30818,NA
06037,"Los Angeles County, California",B01003_001,10081570,NA
06039,"Madera County, California",B01003_001,155433,NA
06041,"Marin County, California",B01003_001,259943,NA
06043,"Mariposa County, California",B01003_001,17420,NA
06045,"Mendocino County, California",B01003_001,87224,NA
06047,"Merced County, California",B01003_001,271382,NA
06049,"Modoc County, California",B01003_001,8907,NA
06051,"Mono County, California",B01003_001,14310,NA
06053,"Monterey County, California",B01003_001,433410,NA
06055,"Napa County, California",B01003_001,139623,NA
06057,"Nevada County, California",B01003_001,99244,NA
06059,"Orange County, California",B01003_001,3168044,NA
06061,"Placer County, California",B01003_001,385512,NA
06063,"Plumas County, California",B01003_001,18660,NA
06065,"Riverside County, California",B01003_001,2411439,NA
06067,"Sacramento County, California",B01003_001,1524553,NA
06069,"San Benito County, California",B01003_001,60376,NA
06071,"San Bernardino County, California",B01003_001,2149031,NA
06073,"San Diego County, California",B01003_001,3316073,NA
06075,"San Francisco County, California",B01003_001,874961,NA
06077,"San Joaquin County, California",B01003_001,742603,NA
06079,"San Luis Obispo County, California",B01003_001,282165,NA
06081,"San Mateo County, California",B01003_001,767423,NA
06083,"Santa Barbara County, California",B01003_001,444829,NA
06085,"Santa Clara County, California",B01003_001,1927470,NA
06087,"Santa Cruz County, California",B01003_001,273962,NA
06089,"Shasta County, California",B01003_001,179212,NA
06091,"Sierra County, California",B01003_001,3040,161
06093,"Siskiyou County, California",B01003_001,43468,NA
06095,"Solano County, California",B01003_001,441829,NA
06097,"Sonoma County, California",B01003_001,499772,NA
06099,"Stanislaus County, California",B01003_001,543194,NA
06101,"Sutter County, California",B01003_001,96109,NA
06103,"Tehama County, California",B01003_001,63912,NA
06105,"Trinity County, California",B01003_001,12700,NA
06107,"Tulare County, California",B01003_001,461898,NA
06109,"Tuolumne County, California",B01003_001,54045,NA
06111,"Ventura County, California",B01003_001,847263,NA
06113,"Yolo County, California",B01003_001,217352,NA
06115,"Yuba County, California",B01003_001,76360,NA
08001,"Adams County, Colorado",B01003_001,504108,NA
08003,"Alamosa County, Colorado",B01003_001,16107,NA
08005,"Arapahoe County, Colorado",B01003_001,644560,NA
08007,"Archuleta County, Colorado",B01003_001,13253,NA
08009,"Baca County, Colorado",B01003_001,3561,NA
08011,"Bent County, Colorado",B01003_001,5787,NA
08013,"Boulder County, Colorado",B01003_001,322510,NA
08014,"Broomfield County, Colorado",B01003_001,67886,NA
08015,"Chaffee County, Colorado",B01003_001,19557,NA
08017,"Cheyenne County, Colorado",B01003_001,2026,186
08019,"Clear Creek County, Colorado",B01003_001,9495,NA
08021,"Conejos County, Colorado",B01003_001,8128,NA
08023,"Costilla County, Colorado",B01003_001,3745,NA
08025,"Crowley County, Colorado",B01003_001,5754,NA
08027,"Custer County, Colorado",B01003_001,4776,NA
08029,"Delta County, Colorado",B01003_001,30565,NA
08031,"Denver County, Colorado",B01003_001,705576,NA
08033,"Dolores County, Colorado",B01003_001,1857,186
08035,"Douglas County, Colorado",B01003_001,336041,NA
08037,"Eagle County, Colorado",B01003_001,54681,NA
08039,"Elbert County, Colorado",B01003_001,25717,NA
08041,"El Paso County, Colorado",B01003_001,698974,NA
08043,"Fremont County, Colorado",B01003_001,47321,NA
08045,"Garfield County, Colorado",B01003_001,59055,NA
08047,"Gilpin County, Colorado",B01003_001,6018,NA
08049,"Grand County, Colorado",B01003_001,15303,NA
08051,"Gunnison County, Colorado",B01003_001,16802,NA
08053,"Hinsdale County, Colorado",B01003_001,857,111
08055,"Huerfano County, Colorado",B01003_001,6679,NA
08057,"Jackson County, Colorado",B01003_001,1261,128
08059,"Jefferson County, Colorado",B01003_001,574798,NA
08061,"Kiowa County, Colorado",B01003_001,1489,128
08063,"Kit Carson County, Colorado",B01003_001,7447,NA
08065,"Lake County, Colorado",B01003_001,7751,NA
08067,"La Plata County, Colorado",B01003_001,55617,NA
08069,"Larimer County, Colorado",B01003_001,344786,NA
08071,"Las Animas County, Colorado",B01003_001,14266,NA
08073,"Lincoln County, Colorado",B01003_001,5585,NA
08075,"Logan County, Colorado",B01003_001,22380,NA
08077,"Mesa County, Colorado",B01003_001,151218,NA
08079,"Mineral County, Colorado",B01003_001,824,112
08081,"Moffat County, Colorado",B01003_001,13127,NA
08083,"Montezuma County, Colorado",B01003_001,26031,NA
08085,"Montrose County, Colorado",B01003_001,41686,NA
08087,"Morgan County, Colorado",B01003_001,28517,NA
08089,"Otero County, Colorado",B01003_001,18282,NA
08091,"Ouray County, Colorado",B01003_001,4796,NA
08093,"Park County, Colorado",B01003_001,17867,NA
08095,"Phillips County, Colorado",B01003_001,4290,NA
08097,"Pitkin County, Colorado",B01003_001,17926,NA
08099,"Prowers County, Colorado",B01003_001,12022,NA
08101,"Pueblo County, Colorado",B01003_001,165982,NA
08103,"Rio Blanco County, Colorado",B01003_001,6384,NA
08105,"Rio Grande County, Colorado",B01003_001,11305,NA
08107,"Routt County, Colorado",B01003_001,25072,NA
08109,"Saguache County, Colorado",B01003_001,6592,NA
08111,"San Juan County, Colorado",B01003_001,589,102
08113,"San Miguel County, Colorado",B01003_001,8049,NA
08115,"Sedgwick County, Colorado",B01003_001,2322,NA
08117,"Summit County, Colorado",B01003_001,30649,NA
08119,"Teller County, Colorado",B01003_001,24524,NA
08121,"Washington County, Colorado",B01003_001,4868,NA
08123,"Weld County, Colorado",B01003_001,305345,NA
08125,"Yuma County, Colorado",B01003_001,10003,NA
09001,"Fairfield County, Connecticut",B01003_001,943926,NA
09003,"Hartford County, Connecticut",B01003_001,893561,NA
09005,"Litchfield County, Connecticut",B01003_001,182002,NA
09007,"Middlesex County, Connecticut",B01003_001,163053,NA
09009,"New Haven County, Connecticut",B01003_001,857513,NA
09011,"New London County, Connecticut",B01003_001,267390,NA
09013,"Tolland County, Connecticut",B01003_001,151063,NA
09015,"Windham County, Connecticut",B01003_001,116566,NA
10001,"Kent County, Delaware",B01003_001,176699,NA
10003,"New Castle County, Delaware",B01003_001,556165,NA
10005,"Sussex County, Delaware",B01003_001,224384,NA
11001,"District of Columbia, District of Columbia",B01003_001,692683,NA
12001,"Alachua County, Florida",B01003_001,265443,NA
12003,"Baker County, Florida",B01003_001,28211,NA
12005,"Bay County, Florida",B01003_001,182161,NA
12007,"Bradford County, Florida",B01003_001,27317,NA
12009,"Brevard County, Florida",B01003_001,585507,NA
12011,"Broward County, Florida",B01003_001,1926205,NA
12013,"Calhoun County, Florida",B01003_001,14362,NA
12015,"Charlotte County, Florida",B01003_001,181067,NA
12017,"Citrus County, Florida",B01003_001,145169,NA
12019,"Clay County, Florida",B01003_001,211405,NA
12021,"Collier County, Florida",B01003_001,371453,NA
12023,"Columbia County, Florida",B01003_001,69968,NA
12027,"DeSoto County, Florida",B01003_001,36903,NA
12029,"Dixie County, Florida",B01003_001,16589,NA
12031,"Duval County, Florida",B01003_001,936186,NA
