County,Date,Cases,Deaths,New,New14,Incidence14
Lehigh,2020-01-23,0,0,0,0,0
Lehigh,2020-01-24,0,0,0,0,0
Lehigh,2020-01-25,0,0,0,0,0
Lehigh,2020-01-26,0,0,0,0,0
Lehigh,2020-01-27,0,0,0,0,0
Lehigh,2020-01-28,0,0,0,0,0
Lehigh,2020-01-29,0,0,0,0,0
Lehigh,2020-01-30,0,0,0,0,0
Lehigh,2020-01-31,0,0,0,0,0
Lehigh,2020-02-01,0,0,0,0,0
Lehigh,2020-02-02,0,0,0,0,0
Lehigh,2020-02-03,0,0,0,0,0
Lehigh,2020-02-04,0,0,0,0,0
Lehigh,2020-02-05,0,0,0,0,0
Lehigh,2020-02-06,0,0,0,0,0
Lehigh,2020-02-07,0,0,0,0,0
Lehigh,2020-02-08,0,0,0,0,0
Lehigh,2020-02-09,0,0,0,0,0
Lehigh,2020-02-10,0,0,0,0,0
Lehigh,2020-02-11,0,0,0,0,0
Lehigh,2020-02-12,0,0,0,0,0
Lehigh,2020-02-13,0,0,0,0,0
Lehigh,2020-02-14,0,0,0,0,0
Lehigh,2020-02-15,0,0,0,0,0
Lehigh,2020-02-16,0,0,0,0,0
Lehigh,2020-02-17,0,0,0,0,0
Lehigh,2020-02-18,0,0,0,0,0
Lehigh,2020-02-19,0,0,0,0,0
Lehigh,2020-02-20,0,0,0,0,0
Lehigh,2020-02-21,0,0,0,0,0
Lehigh,2020-02-22,0,0,0,0,0
Lehigh,2020-02-23,0,0,0,0,0
Lehigh,2020-02-24,0,0,0,0,0
Lehigh,2020-02-25,0,0,0,0,0
Lehigh,2020-02-26,0,0,0,0,0
Lehigh,2020-02-27,0,0,0,0,0
Lehigh,2020-02-28,0,0,0,0,0
Lehigh,2020-02-29,0,0,0,0,0
Lehigh,2020-03-01,0,0,0,0,0
Lehigh,2020-03-02,0,0,0,0,0
Lehigh,2020-03-03,0,0,0,0,0
Lehigh,2020-03-04,0,0,0,0,0
Lehigh,2020-03-05,0,0,0,0,0
Lehigh,2020-03-06,0,0,0,0,0
Lehigh,2020-03-07,0,0,0,0,0
Lehigh,2020-03-08,0,0,0,0,0
Lehigh,2020-03-09,0,0,0,0,0
Lehigh,2020-03-10,0,0,0,0,0
Lehigh,2020-03-11,0,0,0,0,0
Lehigh,2020-03-12,0,0,0,0,0
Lehigh,2020-03-13,0,0,0,0,0
Lehigh,2020-03-14,0,0,0,0,0
Lehigh,2020-03-15,0,0,0,0,0
Lehigh,2020-03-16,0,0,0,0,0
Lehigh,2020-03-17,1,0,1,0.07142857142857142,0
Lehigh,2020-03-18,1,0,0,0.07142857142857142,0
Lehigh,2020-03-19,1,0,0,0.07142857142857142,0
Lehigh,2020-03-20,1,0,0,0.07142857142857142,0
Lehigh,2020-03-21,2,0,1,0.14285714285714285,0
Lehigh,2020-03-22,13,0,11,0.9285714285714286,0.3
Lehigh,2020-03-23,19,1,6,1.3571428571428572,0.4
Lehigh,2020-03-24,25,1,6,1.7857142857142858,0.5
Lehigh,2020-03-25,27,1,2,1.9285714285714286,0.5
Lehigh,2020-03-26,38,1,11,2.7142857142857144,0.7
Lehigh,2020-03-27,63,1,25,4.5,1.2
Lehigh,2020-03-28,93,2,30,6.642857142857143,1.8
Lehigh,2020-03-29,109,3,16,7.785714285714286,2.1
Lehigh,2020-03-30,151,3,42,10.785714285714286,2.9
Lehigh,2020-03-31,231,3,80,16.428571428571427,4.5
Lehigh,2020-04-01,272,4,41,19.357142857142858,5.3
Lehigh,2020-04-02,391,5,119,27.857142857142858,7.6
Lehigh,2020-04-03,461,5,70,32.857142857142854,8.9
Lehigh,2020-04-04,586,5,125,41.714285714285715,11.3
Lehigh,2020-04-05,806,7,220,56.642857142857146,15.4
Lehigh,2020-04-06,873,8,67,61,16.6
Lehigh,2020-04-07,1009,8,136,70.28571428571429,19.1
Lehigh,2020-04-08,1149,10,140,80.14285714285714,21.8
Lehigh,2020-04-09,1333,12,184,92.5,25.1
Lehigh,2020-04-10,1465,13,132,100.14285714285714,27.2
Lehigh,2020-04-11,1572,16,107,105.64285714285714,28.7
Lehigh,2020-04-12,1624,16,52,108.21428571428571,29.4
Lehigh,2020-04-13,1680,18,56,109.21428571428571,29.7
Lehigh,2020-04-14,1747,19,67,108.28571428571429,29.4
Lehigh,2020-04-15,1799,23,52,109.07142857142857,29.6
Lehigh,2020-04-16,1932,25,133,110.07142857142857,29.9
Lehigh,2020-04-17,1993,28,61,109.42857142857143,29.7
Lehigh,2020-04-18,2093,29,100,107.64285714285714,29.2
Lehigh,2020-04-19,2139,29,46,95.21428571428571,25.9
Lehigh,2020-04-20,2202,32,63,94.92857142857143,25.8
Lehigh,2020-04-21,2240,33,38,87.92857142857143,23.9
Lehigh,2020-04-22,2275,49,35,80.42857142857143,21.8
Lehigh,2020-04-23,2358,49,83,73.21428571428571,19.9
Lehigh,2020-04-24,2415,49,57,67.85714285714286,18.4
Lehigh,2020-04-25,2488,49,73,65.42857142857143,17.8
Lehigh,2020-04-26,2548,50,60,66,17.9
Lehigh,2020-04-27,2598,51,50,65.57142857142857,17.8
Lehigh,2020-04-28,2638,56,40,63.642857142857146,17.3
Lehigh,2020-04-29,2683,64,45,63.142857142857146,17.2
Lehigh,2020-04-30,2713,72,30,55.785714285714285,15.2
Lehigh,2020-05-01,2793,74,80,57.142857142857146,15.5
Lehigh,2020-05-02,2844,80,51,53.642857142857146,14.6
Lehigh,2020-05-03,2891,83,47,53.714285714285715,14.6
Lehigh,2020-05-04,2916,83,25,51,13.9
Lehigh,2020-05-05,2943,83,27,50.214285714285715,13.6
Lehigh,2020-05-06,2977,94,34,50.142857142857146,13.6
Lehigh,2020-05-07,3033,102,56,48.214285714285715,13.1
Lehigh,2020-05-08,3082,111,49,47.642857142857146,12.9
Lehigh,2020-05-09,3126,114,44,45.57142857142857,12.4
Lehigh,2020-05-10,3154,120,28,43.285714285714285,11.8
Lehigh,2020-05-11,3219,121,65,44.357142857142854,12.1
Lehigh,2020-05-12,3240,121,21,43,11.7
Lehigh,2020-05-13,3267,123,27,41.714285714285715,11.3
Lehigh,2020-05-14,3296,129,29,41.642857142857146,11.3
Lehigh,2020-05-15,3352,133,56,39.92857142857143,10.8
Lehigh,2020-05-16,3379,136,27,38.214285714285715,10.4
Lehigh,2020-05-17,3423,139,44,38,10.3
Lehigh,2020-05-18,3449,139,26,38.07142857142857,10.3
Lehigh,2020-05-19,3472,173,23,37.785714285714285,10.3
Lehigh,2020-05-20,3500,182,28,37.357142857142854,10.1
Lehigh,2020-05-21,3528,188,28,35.357142857142854,9.6
Lehigh,2020-05-22,3561,192,33,34.214285714285715,9.3
Lehigh,2020-05-23,3588,197,27,33,9
Lehigh,2020-05-24,3608,202,20,32.42857142857143,8.8
Lehigh,2020-05-25,3630,206,22,29.357142857142858,8
Lehigh,2020-05-26,3646,209,16,29,7.9
Lehigh,2020-05-27,3653,210,7,27.571428571428573,7.5
Lehigh,2020-05-28,3677,215,24,27.214285714285715,7.4
Lehigh,2020-05-29,3697,218,20,24.642857142857142,6.7
Lehigh,2020-05-30,3717,222,20,24.142857142857142,6.6
Lehigh,2020-05-31,3722,228,5,21.357142857142858,5.8
Lehigh,2020-06-01,3742,228,20,20.928571428571427,5.7
Lehigh,2020-06-02,3752,228,10,20,5.4
Lehigh,2020-06-03,3763,235,11,18.785714285714285,5.1
Lehigh,2020-06-04,3782,239,19,18.142857142857142,4.9
Lehigh,2020-06-05,3796,242,14,16.785714285714285,4.6
Lehigh,2020-06-06,3810,245,14,15.857142857142858,4.3
Lehigh,2020-06-07,3828,248,18,15.714285714285714,4.3
Lehigh,2020-06-08,3839,248,11,14.928571428571429,4.1
Lehigh,2020-06-09,3850,249,11,14.571428571428571,4
Lehigh,2020-06-10,3870,253,20,15.5,4.2
Lehigh,2020-06-11,3876,259,6,14.214285714285714,3.9
Lehigh,2020-06-12,3890,263,14,13.785714285714286,3.7
Lehigh,2020-06-13,3907,264,17,13.571428571428571,3.7
Lehigh,2020-06-14,3927,267,20,14.642857142857142,4
Lehigh,2020-06-15,3937,267,10,13.928571428571429,3.8
Lehigh,2020-06-16,3944,269,7,13.714285714285714,3.7
Lehigh,2020-06-17,3958,271,14,13.928571428571429,3.8
Lehigh,2020-06-18,3963,273,5,12.928571428571429,3.5
Lehigh,2020-06-19,3981,276,18,13.214285714285714,3.6
Lehigh,2020-06-20,4006,277,25,14,3.8
Lehigh,2020-06-21,4055,278,49,16.214285714285715,4.4
Lehigh,2020-06-22,4068,278,13,16.357142857142858,4.4
Lehigh,2020-06-23,4075,279,7,16.071428571428573,4.4
Lehigh,2020-06-24,4089,281,14,15.642857142857142,4.2
Lehigh,2020-06-25,4110,284,21,16.714285714285715,4.5
Lehigh,2020-06-26,4142,285,32,18,4.9
Lehigh,2020-06-27,4165,288,23,18.428571428571427,5
Lehigh,2020-06-28,4182,292,17,18.214285714285715,4.9
Lehigh,2020-06-29,4190,292,8,18.071428571428573,4.9
Lehigh,2020-06-30,4201,294,11,18.357142857142858,5
Lehigh,2020-07-01,4214,297,13,18.285714285714285,5
Lehigh,2020-07-02,4240,300,26,19.785714285714285,5.4
Lehigh,2020-07-03,4255,305,15,19.571428571428573,5.3
Lehigh,2020-07-04,4268,307,13,18.714285714285715,5.1
Lehigh,2020-07-05,4281,307,13,16.142857142857142,4.4
Lehigh,2020-07-06,4288,307,7,15.714285714285714,4.3
Lehigh,2020-07-07,4294,307,6,15.642857142857142,4.2
Lehigh,2020-07-08,4314,309,20,16.071428571428573,4.4
Lehigh,2020-07-09,4336,312,22,16.142857142857142,4.4
Lehigh,2020-07-10,4351,315,15,14.928571428571429,4.1
Lehigh,2020-07-11,4370,319,19,14.642857142857142,4
Lehigh,2020-07-12,4398,324,28,15.428571428571429,4.2
Lehigh,2020-07-13,4407,326,9,15.5,4.2
Lehigh,2020-07-14,4416,327,9,15.357142857142858,4.2
Lehigh,2020-07-15,4428,329,12,15.285714285714286,4.2
Lehigh,2020-07-16,4448,330,20,14.857142857142858,4
Lehigh,2020-07-17,4476,330,28,15.785714285714286,4.3
Lehigh,2020-07-18,4500,331,24,16.571428571428573,4.5
Lehigh,2020-07-19,4519,332,19,17,4.6
Lehigh,2020-07-20,4526,332,7,17,4.6
Lehigh,2020-07-21,4542,332,16,17.714285714285715,4.8
Lehigh,2020-07-22,4567,333,25,18.071428571428573,4.9
Lehigh,2020-07-23,4580,334,13,17.428571428571427,4.7
Lehigh,2020-07-24,4590,334,10,17.071428571428573,4.6
