Date,Cases,New,New14,Incidence14
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,2,2,0.14285714285714285,0
2020-03-08,2,0,0.14285714285714285,0
2020-03-09,6,4,0.42857142857142855,0
2020-03-10,7,1,0.5,0
2020-03-11,12,5,0.8571428571428571,0
2020-03-12,16,4,1.1428571428571428,0
2020-03-13,22,6,1.5714285714285714,0
2020-03-14,41,19,2.9285714285714284,0
2020-03-15,47,6,3.357142857142857,0
2020-03-16,47,0,3.357142857142857,0
2020-03-17,79,32,5.642857142857143,0
2020-03-18,112,33,8,0.1
2020-03-19,155,43,11.071428571428571,0.1
2020-03-20,206,51,14.714285714285714,0.1
2020-03-21,311,105,22.071428571428573,0.2
2020-03-22,399,88,28.357142857142858,0.2
2020-03-23,509,110,35.92857142857143,0.3
2020-03-24,698,189,49.357142857142854,0.4
2020-03-25,946,248,66.71428571428571,0.5
2020-03-26,1260,314,88.85714285714286,0.7
2020-03-27,1795,535,126.64285714285714,1
2020-03-28,2345,550,164.57142857142858,1.3
2020-03-29,2845,500,199.85714285714286,1.6
2020-03-30,3432,587,241.78571428571428,1.9
2020-03-31,4155,723,291.14285714285717,2.3
2020-04-01,4963,808,346.5,2.7
2020-04-02,5950,987,413.92857142857144,3.2
2020-04-03,7083,1133,491.2142857142857,3.8
2020-04-04,8483,1400,583.7142857142857,4.6
2020-04-05,10192,1709,699.5,5.5
2020-04-06,11605,1413,792.5714285714286,6.2
2020-04-07,13104,1499,886.1428571428571,6.9
2020-04-08,14635,1531,977.7857142857143,7.6
2020-04-09,16436,1801,1084,8.5
2020-04-10,18460,2024,1190.357142857143,9.3
2020-04-11,20303,1843,1282.7142857142858,10
2020-04-12,22038,1735,1370.9285714285713,10.7
2020-04-13,23219,1181,1413.357142857143,11
2020-04-14,24505,1286,1453.5714285714287,11.4
2020-04-15,25612,1107,1474.9285714285713,11.5
2020-04-16,26841,1229,1492.2142857142858,11.7
2020-04-17,28033,1192,1496.4285714285713,11.7
2020-04-18,29855,1822,1526.5714285714287,11.9
2020-04-19,31671,1816,1534.2142857142858,12
2020-04-20,32938,1267,1523.7857142857142,11.9
2020-04-21,33833,895,1480.642857142857,11.6
2020-04-22,35077,1244,1460.142857142857,11.4
2020-04-23,36420,1343,1427.4285714285713,11.2
2020-04-24,38274,1854,1415.2857142857142,11.1
2020-04-25,39915,1641,1400.857142857143,10.9
2020-04-26,41460,1545,1387.2857142857142,10.8
2020-04-27,42784,1324,1397.5,10.9
2020-04-28,43695,911,1370.7142857142858,10.7
2020-04-29,45199,1504,1399.0714285714287,10.9
2020-04-30,46372,1173,1395.0714285714287,10.9
2020-05-01,47953,1581,1422.857142857143,11.1
2020-05-02,49646,1693,1413.642857142857,11
2020-05-03,50995,1349,1380.2857142857142,10.8
2020-05-04,52044,1049,1364.7142857142858,10.7
2020-05-05,52999,955,1369,10.7
2020-05-06,53878,879,1342.9285714285713,10.5
2020-05-07,54846,968,1316.142857142857,10.3
2020-05-08,55948,1102,1262.4285714285713,9.9
2020-05-09,57369,1421,1246.7142857142858,9.7
2020-05-10,58462,1093,1214.4285714285713,9.5
2020-05-11,59877,1415,1220.9285714285713,9.5
2020-05-12,60469,592,1198.142857142857,9.4
2020-05-13,61257,788,1147,9
2020-05-14,62018,761,1117.5714285714287,8.7
2020-05-15,62934,916,1070.0714285714287,8.4
2020-05-16,63943,1009,1021.2142857142857,8
2020-05-17,65044,1101,1003.5,7.8
2020-05-18,65743,699,978.5,7.6
2020-05-19,66521,778,965.8571428571429,7.5
2020-05-20,67086,565,943.4285714285714,7.4
2020-05-21,67855,769,929.2142857142857,7.3
2020-05-22,68828,973,920,7.2
2020-05-23,69795,967,887.5714285714286,6.9
