fips,county,state,date_report,cases,deaths
1001,Autauga,Alabama,2022-02-01,14742,166
1003,Baldwin,Alabama,2022-02-01,52649,612
1005,Barbour,Alabama,2022-02-01,5263,84
1007,Bibb,Alabama,2022-02-01,6107,96
1009,Blount,Alabama,2022-02-01,14056,207
1011,Bullock,Alabama,2022-02-01,2234,47
1013,Butler,Alabama,2022-02-01,4784,108
1015,Calhoun,Alabama,2022-02-01,30046,554
1017,Chambers,Alabama,2022-02-01,8181,148
1019,Cherokee,Alabama,2022-02-01,4822,69
1021,Chilton,Alabama,2022-02-01,9977,183
1023,Choctaw,Alabama,2022-02-01,1778,33
1025,Clarke,Alabama,2022-02-01,6756,89
1027,Clay,Alabama,2022-02-01,3902,72
1029,Cleburne,Alabama,2022-02-01,3382,63
1031,Coffee,Alabama,2022-02-01,12807,203
1033,Colbert,Alabama,2022-02-01,15233,219
1035,Conecuh,Alabama,2022-02-01,2757,63
1037,Coosa,Alabama,2022-02-01,2761,51
1039,Covington,Alabama,2022-02-01,8910,205
1041,Crenshaw,Alabama,2022-02-01,3620,82
1043,Cullman,Alabama,2022-02-01,23013,324
1045,Dale,Alabama,2022-02-01,11828,204
1047,Dallas,Alabama,2022-02-01,7813,220
1049,DeKalb,Alabama,2022-02-01,17619,290
1051,Elmore,Alabama,2022-02-01,22052,308
1053,Escambia,Alabama,2022-02-01,9596,152
1055,Etowah,Alabama,2022-02-01,27123,544
1057,Fayette,Alabama,2022-02-01,4380,86
1059,Franklin,Alabama,2022-02-01,9144,117
1061,Geneva,Alabama,2022-02-01,5842,142
1063,Greene,Alabama,2022-02-01,1731,47
1065,Hale,Alabama,2022-02-01,4383,95
1067,Henry,Alabama,2022-02-01,4220,67
1069,Houston,Alabama,2022-02-01,23684,448
1071,Jackson,Alabama,2022-02-01,13988,210
1073,Jefferson,Alabama,2022-02-01,175014,2080
1075,Lamar,Alabama,2022-02-01,3412,60
1077,Lauderdale,Alabama,2022-02-01,22518,336
1079,Lawrence,Alabama,2022-02-01,7088,143
1081,Lee,Alabama,2022-02-01,36183,285
1083,Limestone,Alabama,2022-02-01,23342,241
1085,Lowndes,Alabama,2022-02-01,2516,68
1087,Macon,Alabama,2022-02-01,3667,70
1089,Madison,Alabama,2022-02-01,82478,808
1091,Marengo,Alabama,2022-02-01,4532,94
1093,Marion,Alabama,2022-02-01,7552,138
1095,Marshall,Alabama,2022-02-01,25848,343
1097,Mobile,Alabama,2022-02-01,107243,1459
1099,Monroe,Alabama,2022-02-01,5010,69
1101,Montgomery,Alabama,2022-02-01,52396,812
1103,Morgan,Alabama,2022-02-01,33760,448
1105,Perry,Alabama,2022-02-01,1953,40
1107,Pickens,Alabama,2022-02-01,4857,93
1109,Pike,Alabama,2022-02-01,7057,118
1111,Randolph,Alabama,2022-02-01,4837,69
1113,Russell,Alabama,2022-02-01,9483,69
1117,Shelby,Alabama,2022-02-01,56338,397
1115,St. Clair,Alabama,2022-02-01,23910,376
1119,Sumter,Alabama,2022-02-01,2271,43
1121,Talladega,Alabama,2022-02-01,20841,319
1123,Tallapoosa,Alabama,2022-02-01,10835,212
1125,Tuscaloosa,Alabama,2022-02-01,51690,687
1127,Walker,Alabama,2022-02-01,17395,395
1129,Washington,Alabama,2022-02-01,3447,53
1131,Wilcox,Alabama,2022-02-01,2682,38
1133,Winston,Alabama,2022-02-01,6919,115
2013,Aleutians East,Alaska,2022-02-01,860,3
2016,Aleutians West,Alaska,2022-02-01,1579,2
2020,Anchorage,Alaska,2022-02-01,93006,468
2050,Bethel,Alaska,2022-02-01,8091,37
2060,Bristol Bay,Alaska,2022-02-01,0,0
2164,Bristol Bay plus Lake and Peninsula,Alaska,2022-02-01,746,1
2063,Chugach,Alaska,2022-02-01,1616,9
2066,Copper River,Alaska,2022-02-01,841,7
2068,Denali,Alaska,2022-02-01,353,1
2070,Dillingham,Alaska,2022-02-01,1267,11
2090,Fairbanks North Star,Alaska,2022-02-01,24559,124
2100,Haines,Alaska,2022-02-01,407,1
2105,Hoonah-Angoon,Alaska,2022-02-01,0,0
2110,Juneau,Alaska,2022-02-01,7113,18
2122,Kenai Peninsula,Alaska,2022-02-01,15200,92
2130,Ketchikan Gateway,Alaska,2022-02-01,3347,18
2150,Kodiak Island,Alaska,2022-02-01,4350,10
2270,Kusilvak,Alaska,2022-02-01,3217,9
2170,Matanuska-Susitna,Alaska,2022-02-01,31168,203
2180,Nome,Alaska,2022-02-01,3899,3
2185,North Slope,Alaska,2022-02-01,3663,10
2188,Northwest Arctic,Alaska,2022-02-01,3377,12
2195,Petersburg,Alaska,2022-02-01,626,3
2198,Prince of Wales-Hyder,Alaska,2022-02-01,1075,6
2220,Sitka,Alaska,2022-02-01,1970,6
2230,Skagway,Alaska,2022-02-01,111,0
2240,Southeast Fairbanks,Alaska,2022-02-01,1749,16
2261,Valdez-Cordova,Alaska,2022-02-01,0,0
2275,Wrangell,Alaska,2022-02-01,427,1
2282,Yakutat,Alaska,2022-02-01,434,5
2290,Yukon-Koyukuk,Alaska,2022-02-01,1117,8
4001,Apache,Arizona,2022-02-01,20499,571
4003,Cochise,Arizona,2022-02-01,28140,507
4005,Coconino,Arizona,2022-02-01,40683,438
4007,Gila,Arizona,2022-02-01,15606,338
4009,Graham,Arizona,2022-02-01,11112,164
4011,Greenlee,Arizona,2022-02-01,2068,30
4012,La Paz,Arizona,2022-02-01,4794,116
4013,Maricopa,Arizona,2022-02-01,1183959,14735
4015,Mohave,Arizona,2022-02-01,53318,1281
4017,Navajo,Arizona,2022-02-01,35330,811
4019,Pima,Arizona,2022-02-01,234028,3441
4021,Pinal,Arizona,2022-02-01,121256,1441
4023,Santa Cruz,Arizona,2022-02-01,15699,212
4025,Yavapai,Arizona,2022-02-01,44894,1069
4027,Yuma,Arizona,2022-02-01,59258,1051
5001,Arkansas,Arkansas,2022-02-01,5382,68
5003,Ashley,Arkansas,2022-02-01,4732,56
5005,Baxter,Arkansas,2022-02-01,8154,217
5007,Benton,Arkansas,2022-02-01,62679,722
5009,Boone,Arkansas,2022-02-01,8892,146
5011,Bradley,Arkansas,2022-02-01,2845,43
5013,Calhoun,Arkansas,2022-02-01,836,9
5015,Carroll,Arkansas,2022-02-01,5744,87
5017,Chicot,Arkansas,2022-02-01,2657,50
5019,Clark,Arkansas,2022-02-01,4896,70
5021,Clay,Arkansas,2022-02-01,3810,78
5023,Cleburne,Arkansas,2022-02-01,5987,106
5025,Cleveland,Arkansas,2022-02-01,2158,33
5027,Columbia,Arkansas,2022-02-01,4908,77
5029,Conway,Arkansas,2022-02-01,5118,50
5031,Craighead,Arkansas,2022-02-01,34632,275
5033,Crawford,Arkansas,2022-02-01,15042,208
5035,Crittenden,Arkansas,2022-02-01,13265,196
