date,total
2020-03-26T00:00:00Z,0
2020-03-27T00:00:00Z,0
2020-03-28T00:00:00Z,0
2020-03-29T00:00:00Z,0
2020-03-30T00:00:00Z,0
2020-03-31T00:00:00Z,0
2020-04-01T00:00:00Z,0
2020-04-02T00:00:00Z,0
2020-04-03T00:00:00Z,0
2020-04-04T00:00:00Z,0
2020-04-05T00:00:00Z,0
2020-04-06T00:00:00Z,0
2020-04-07T00:00:00Z,0
2020-04-08T00:00:00Z,110.7
2020-04-09T00:00:00Z,125.4
2020-04-10T00:00:00Z,141.1
2020-04-11T00:00:00Z,156.7
2020-04-12T00:00:00Z,171
2020-04-13T00:00:00Z,185.7
2020-04-14T00:00:00Z,198.5
2020-04-15T00:00:00Z,211.1
2020-04-16T00:00:00Z,221.7
2020-04-17T00:00:00Z,231.9
2020-04-18T00:00:00Z,242.10000000000002
2020-04-19T00:00:00Z,249.8
2020-04-20T00:00:00Z,256.3
2020-04-21T00:00:00Z,261.4
2020-04-22T00:00:00Z,266.1
2020-04-23T00:00:00Z,272.1
2020-04-24T00:00:00Z,275.5
2020-04-25T00:00:00Z,278.2
2020-04-26T00:00:00Z,282
2020-04-27T00:00:00Z,285.5
2020-04-28T00:00:00Z,289.1
2020-04-29T00:00:00Z,291.6
2020-04-30T00:00:00Z,295
2020-05-01T00:00:00Z,296.5
2020-05-02T00:00:00Z,296.40000000000003
2020-05-03T00:00:00Z,296.7
2020-05-04T00:00:00Z,296.3
2020-05-05T00:00:00Z,297
2020-05-06T00:00:00Z,295.8
2020-05-07T00:00:00Z,292.2
2020-05-08T00:00:00Z,289
2020-05-09T00:00:00Z,285.2
2020-05-10T00:00:00Z,280.7
2020-05-11T00:00:00Z,275.3
2020-05-12T00:00:00Z,270.2
2020-05-13T00:00:00Z,265.7
2020-05-14T00:00:00Z,258.7
2020-05-15T00:00:00Z,250.5
2020-05-16T00:00:00Z,242.5
2020-05-17T00:00:00Z,234.5
2020-05-18T00:00:00Z,227
2020-05-19T00:00:00Z,218.2
2020-05-20T00:00:00Z,209.7
2020-05-21T00:00:00Z,202.4
2020-05-22T00:00:00Z,194.7
2020-05-23T00:00:00Z,187
2020-05-24T00:00:00Z,179.29999999999998
2020-05-25T00:00:00Z,173.39999999999998
2020-05-26T00:00:00Z,166.8
2020-05-27T00:00:00Z,159.9
2020-05-28T00:00:00Z,154.5
2020-05-29T00:00:00Z,151.5
2020-05-30T00:00:00Z,148.5
2020-05-31T00:00:00Z,145.4
2020-06-01T00:00:00Z,142.3
2020-06-02T00:00:00Z,139.1
2020-06-03T00:00:00Z,136.1
2020-06-04T00:00:00Z,132
2020-06-05T00:00:00Z,128.5
2020-06-06T00:00:00Z,126.3
2020-06-07T00:00:00Z,123.60000000000001
2020-06-08T00:00:00Z,119.30000000000001
2020-06-09T00:00:00Z,115.5
2020-06-10T00:00:00Z,111.5
2020-06-11T00:00:00Z,108
2020-06-12T00:00:00Z,103.7
2020-06-13T00:00:00Z,99.69999999999999
2020-06-14T00:00:00Z,95.69999999999999
2020-06-15T00:00:00Z,91.89999999999999
2020-06-16T00:00:00Z,88.39999999999999
2020-06-17T00:00:00Z,84.3
2020-06-18T00:00:00Z,81.9
2020-06-19T00:00:00Z,79.9
2020-06-20T00:00:00Z,78
2020-06-21T00:00:00Z,76.5
2020-06-22T00:00:00Z,75.5
2020-06-23T00:00:00Z,74.60000000000001
2020-06-24T00:00:00Z,74.2
